User,Edited Articles,Total Edits,Total Minors
Ulenspygel,9,80,33
Paul Peplow,6,80,27
imported>Timelist,1,80,0
Karl-Heinz Mitzschke,1,80,22
Hs-berlin,47,79,1
Magnus,44,79,79
Cholo Aleman,50,78,10
Martin1978,47,78,71
Polarlys,44,78,43
BeverlyHillsCop,30,78,13
Verum,27,78,19
JanZwanzig,10,78,5
Kurt Jansson,46,77,47
Morten Haan,23,77,52
Geschichtsfan,16,77,35
AlternativesLebensglück,13,77,7
TaxonKatBot,60,76,76
GünniX,55,76,72
ErikDunsing,50,76,75
Wikinger86,24,76,25
Arabsalam,13,76,12
Malula,11,76,4
A.M.,9,76,1
Red Baron 2,1,76,31
imported>FrankWSweet,1,76,8
imported>Kobrakid,1,76,0
MerlLinkBot,62,75,73
DaB.,47,75,35
-jkb-,23,75,38
Reinold M3i3r,20,75,75
Der Stachel,14,75,24
Andol,13,75,15
Jmb1982,8,75,30
Spylab,1,75,0
Wahldresdner,44,74,56
Onkelkoeln,42,74,70
Michelhausen,15,74,0
Jd2718,1,74,0
Kaisersoft,48,73,66
Rybak,46,73,49
Rtc,16,73,30
Randolph33,45,72,69
Werner von Basil,41,72,57
Achim Raschka,40,72,50
Letdemsay,39,72,6
Langec,37,72,69
Scherben,21,72,30
Lutheraner,21,72,24
Hans Haase,19,72,7
Bettenlager,11,72,46
Jukebox,7,72,7
Spearmind,5,72,60
GrummelJS,5,72,13
Kam Solusar,53,71,57
Aspiriniks,46,71,54
Andim,40,71,71
Juesch,39,71,71
Neuroca,31,71,0
T.M.L.-KuTV,23,71,55
Koenraad,21,71,34
Elya,20,71,40
KomDok,16,71,4
Captain-C,15,71,21
212.238.215.149,9,71,0
Dbachmann,3,71,2
Lean Anael,1,71,2
Loveless,55,70,70
O.Koslowski,44,70,70
Finanzer,43,70,60
Girus,42,70,63
Steffen Löwe Gera,27,70,61
Miebner,24,70,8
Suirenn,22,70,55
Axt,18,70,36
Ulula,10,70,2
imported>BrainyBabe,1,70,0
Hafenbar,32,69,44
UW,27,69,62
GS63,17,69,6
Klaus Frisch,8,69,31
Sitacu,8,69,25
RedZiz,5,69,0
Richard Viren,1,69,0
Philipp Wetzlar,40,68,45
Mehlauge,39,68,36
BLueFiSH.as,37,68,50
HSV4life,25,68,67
Donautalbahner,10,68,24
Die Winterreise,9,68,21
Nomygon,8,68,27
Csac4864,8,68,16
Airwave2k2,2,68,4
Mathesar,2,68,11
Akkakk,52,67,29
Faber-Castell,41,67,0
Philipendula,34,67,62
Syrcro,22,67,51
UHT,18,67,38
Rob75,3,67,8
Nixred,38,66,60
Rax,38,66,60
Nixus Minimax,33,66,11
Göte,31,66,66
NiTenIchiRyu,30,66,43
129.187.244.28,29,66,0
Emes,21,66,43
-jha-,13,66,5
Nixx,11,66,8
Uwe Gille,50,65,54
Antemister,20,65,13
MrsMyer,6,65,16
Vanger,2,65,40
Riverneverever,1,65,0
imported>AnwarSadatFan,1,65,0
Numbo3-bot,35,64,64
Bigbug21,31,64,29
Amberg,29,64,28
Qaswa,28,64,18
Mautpreller,26,64,9
Achates,18,64,33
Sister Ray,10,64,51
Ceterum censeo,8,64,39
Chauki,6,64,2
Nasiruddin,4,64,27
Nothere,40,63,57
Gerhardvalentin,29,63,37
Rufus46,29,63,62
Fit,26,63,5
Sf67,26,63,48
Klios,25,63,3
Sebastianvader,21,63,56
Marco K.,21,63,49
Bunnyfrosch,20,63,19
Gurion,4,63,0
Sabrina Ebeling,1,63,6
Leutnant,1,63,0
Gnu1742,40,62,39
Gerbil,39,62,40
Label5,34,62,23
Gudrun Meyer,29,62,47
Martin Sg.,26,62,19
Majo statt Senf,24,62,12
Carolin,20,62,16
Hans Dunkelberg,12,62,53
Paul Barlow,1,62,3
208.254.174.148,1,62,0
Mrfreddysmith,1,62,16
PortalBot,39,61,61
Stechlin,35,61,44
Kalorie,32,61,35
Nocturne,30,61,46
Grey Geezer,27,61,10
Eintragung ins Nichts,22,61,8
Mama Leone,16,61,33
Funkruf,14,61,21
Voyager1500,11,61,15
Chianti,10,61,7
Inspektor.Godot,9,61,32
Lokalpatriot-Tegel,8,61,0
Andreas Parker,5,61,11
Avantix,4,61,3
Epikur,3,61,15
ChuispastonBot,45,60,60
Schaengel89,41,60,9
Sproink,40,60,60
Leipnizkeks,33,60,18
Asperatus,23,60,0
Volkes Stimme,15,60,5
Denis Barthel,12,60,19
HV,11,60,6
Der-Wir-Ing,9,60,6
JGalt,6,60,14
Mariachi,3,60,33
Liberexim,3,60,15
THAWonderland,2,60,9
Zahnputzbecher,42,59,55
Innobello,40,59,45
Carbidfischer,30,59,56
Qaswed,25,59,16
790,22,59,18
TUBS,22,59,11
Dachris,16,59,11
Androl,36,58,50
Rolf acker,28,58,50
HeBB,27,58,20
Alex1011,20,58,15
195.126.85.141,6,58,0
FredericII,40,57,57
DasBee,40,57,54
DF5GO,39,57,39
MBq,38,57,45
EWriter,38,57,52
Pm,30,57,28
Atamari,23,57,17
Der Unbestechliche,14,57,27
138.232.1.229,5,57,0
Fehlerfuchs,4,57,15
Sivizius,3,57,53
Kratzbaum,2,57,19
68.60.55.162,1,57,0
Raymond,40,56,26
Felistoria,31,56,33
Reclus,29,56,15
Dexbot,28,56,56
Tokota,22,56,12
Micha2564,17,56,23
Cassandro,14,56,32
ArtMechanic,11,56,29
Jossi2,9,56,7
TJ.MD,8,56,14
